CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8655","HIST 338","1","Modern Germany, 1945-Present","3","","Lec","MW","1600-1715","MCM 162","Puaca, Brian","19","Open",
"8656","HIST 343","1","Global Environmental History","3","","Lec","TR","1500-1615","MCM 260","Allison, James","19","Open",
"8657","HIST 347","1","Atlntc Wrld Encountr 1400-1700","3","","Lec","MWF","1300-1350","MCM 114","Connell, William","19","Open",
"8658","HIST 348","1","Intro-Historical Archaeology","3","","Lec","F","1400-1700","MCM 262","Outlaw, Alain","15","Open",
"9151","HIST 351","1","American Military History","3","","Lec","MWF","1000-1050","MCM 310","Falk, Andrew","19","Open",
"9152","HIST 351","2","American Military History","3","","Lec","MWF","1100-1150","MCM 310","Falk, Andrew","19","Open",
"8659","HIST 376","1","Modern North Africa","3","","Lec","TR","1630-1745","MCM 210","Stenner, David","19","Open",
"8661","HIST 388","1","The US South: Hist, Cultr &amp; Id","3","","Lec","MWF","1400-1450","MCM 164","Wood, Elizabeth","19","Open",
"9155","HIST 405","1","Law &amp; Justice in Chinese Hist","3","","Lec","TR","1630-1745","MCM 366","Xu, Xiaoqun","15","Open",
"8662","HIST 408","1","The Crusades","3","","Lec","MW","1600-1715","MCM 307","Cartwright, Charlotte","15","Open",
"8663","HIST 435","1","Public History","3","","Lec","MWF","1000-1050","MCM 212","Shuck-Hall, Sheri","15","Open",
"8664","HIST 490","1","WI: Senior Seminar","3","  WI","Lec","M","1800-2045","MCM 257","Hamilton, Phillip","12","Open",
"8665","HIST 490","2","WI: Senior Seminar","3","  WI","Lec","T","1800-2045","MCM 366","Harshman, Deirdre","12","Open",
"8666","HIST 491","1","Practicum","3","","Int","MWF","0800-0850","MCM 212","Shuck-Hall, Sheri","10","Open",
"8667","HIST 530","1","The World Historian as Teacher","3","","Lec","M","1800-2045","MCM 316","Cartwright, Charlotte","15","Open",
"9066","HONR 010","1","First Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","49","Open",
"9067","HONR 010","2","First Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","49","Open",
"9068","HONR 010","3","First Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","49","Open",
"9069","HONR 020","1","Second Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","49","Open",
"9070","HONR 020","2","Second Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","49","Open",
"9071","HONR 020","3","Second Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","49","Open",
"9074","HONR 030","1","Third Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","49","Open",
"9075","HONR 030","2","Third Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","49","Open",
"9076","HONR 030","3","Third Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","49","Open",
"9077","HONR 040","1","Fourth Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","49","Open",
"9078","HONR 040","2","Fourth Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","49","Open",
"9079","HONR 040","3","Fourth Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","49","Open",
"9080","HONR 300","1","The Evolution of Physics","3","  HON","Lec","TR","0800-0915","LUTR 137","Heddle, David","19","Open",
